Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Bay of Plenty;222;Financial Brokers and Dealers, and Investment Advisers;540;539;539;537;-3;-0.2
Bay of Plenty;223;Human Resource and Training Professionals;663;678;695;710;47;2.3
Bay of Plenty;224;Information and Organisation Professionals;1628;1653;168;1701;72;1.5
Bay of Plenty;225;Sales, Marketing and Public Relations Professionals;845;870;898;923;78;3.0
Bay of Plenty;231;Air and Marine Transport Professionals;512;513;515;514;2;0.1
Bay of Plenty;232;Architects, Designers, Planners and Surveyors;1202;124;1281;1319;117;3.1
Bay of Plenty;233;Engineering Professionals;1637;1679;172;1753;116;2.3
Bay of Plenty;234;Natural and Physical Science Professionals;1185;1222;1264;1304;119;3.2
Bay of Plenty;241;School Teachers;72;7363;7524;7646;447;2.0
Bay of Plenty;242;Tertiary Education Teachers;708;706;702;693;-15;-0.7
Bay of Plenty;249;Miscellaneous Education Professionals;633;643;652;656;24;1.2
Bay of Plenty;251;Health Diagnostic and Promotion Professionals;811;842;879;921;110;4.3
Bay of Plenty;252;Health Therapy Professionals;924;959;1002;1055;131;4.5
Bay of Plenty;253;Medical Practitioners;916;948;989;1042;125;4.4
Bay of Plenty;254;Midwifery and Nursing Professionals;323;332;3445;361;380;3.8
Bay of Plenty;261;Business and Systems Analysts, and Programmers;1024;1065;1108;115;126;3.9
Bay of Plenty;262;Database and Systems Administrators, and ICT Security Specialists;358;367;377;386;29;2.6
Bay of Plenty;263;ICT Network and Support Professionals;277;288;299;308;31;3.6
Bay of Plenty;271;Legal Professionals;948;983;1021;1056;108;3.7
Bay of Plenty;272;Social and Welfare Professionals;2391;2449;2515;2581;190;2.6
Bay of Plenty;311;Agricultural, Medical and Science Technicians;938;952;969;985;47;1.6
Bay of Plenty;312;Building and Engineering Technicians;1361;1396;1429;1454;93;2.2
Bay of Plenty;313;ICT and Telecommunications Technicians;410;408;408;405;-5;-0.4
Bay of Plenty;321;Automotive Electricians and Mechanics;1718;1714;1718;1713;-5;-0.1
Bay of Plenty;322;Fabrication Engineering Trades Workers;1027;1063;1096;1122;94;3.0
Bay of Plenty;323;Mechanical Engineering Trades Workers;1554;1547;1536;1516;-38;-0.8
Bay of Plenty;324;Panelbeaters, and Vehicle Body Builders, Trimmers and Painters;373;368;362;353;-19;-1.8
Bay of Plenty;331;Bricklayers, Carpenters and Joiners;947;954;951;940;-7;-0.3
Bay of Plenty;332;Floor Finishers and Painting Trades Workers;733;764;787;802;69;3.1
Bay of Plenty;333;Glaziers, Plasterers and Tilers;874;921;960;991;117;4.3
Bay of Plenty;334;Plumbers;678;712;738;758;80;3.8
Bay of Plenty;341;Electricians;1348;1416;147;1512;164;3.9
Bay of Plenty;342;Electronics and Telecommunications Trades Workers;714;725;729;727;13;0.6
Bay of Plenty;351;Food Trades Workers;274;282;292;3013;273;3.2
Bay of Plenty;361;Animal Attendants and Trainers, and Shearers;317;329;345;358;41;4.2
Bay of Plenty;362;Horticultural Trades Workers;1304;1288;1273;126;-44;-1.1
Bay of Plenty;391;Hairdressers;803;815;833;847;44;1.8
Bay of Plenty;392;Printing Trades Workers;118;116;111;105;-14;-4.0
Bay of Plenty;393;Textile, Clothing and Footwear Trades Workers;152;154;156;158;6;1.2
Bay of Plenty;394;Wood Trades Workers;275;277;278;278;3;0.3
Bay of Plenty;399;Miscellaneous Technicians and Trades Workers;818;835;852;867;49;2.0
Bay of Plenty;411;Health and Welfare Support Workers;1713;1775;1848;193;217;4.1
Bay of Plenty;421;Child Carers;658;672;687;702;44;2.2
Bay of Plenty;422;Education Aides;1062;1069;1074;107;8;0.2
Bay of Plenty;423;Personal Carers and Assistants;3693;3753;3844;3968;274;2.4
Bay of Plenty;431;Hospitality Workers;3131;3171;3234;3284;153;1.6
Bay of Plenty;441;Defence Force Members, Fire Fighters and Police;2102;2126;2139;2141;38;0.6
Bay of Plenty;442;Prison and Security Officers;823;843;860;874;51;2.0
Bay of Plenty;451;Personal Service and Travel Workers;1145;1156;1174;1186;41;1.2
Bay of Plenty;452;Sports and Fitness Workers;133;1373;1423;1467;137;3.3
Bay of Plenty;511;Contract, Program and Project Administrators;1887;1956;2028;2093;207;3.5
Bay of Plenty;512;Office and Practice Managers;3354;3545;3745;3937;583;5.5
Bay of Plenty;521;Personal Assistants and Secretaries;848;780;711;641;-207;-8.9
Bay of Plenty;531;General Clerks;2823;268;2536;2379;-444;-5.5
Bay of Plenty;532;Keyboard Operators;248;221;192;165;-83;-12.8
Bay of Plenty;541;Call or Contact Centre Information Clerks;203;197;191;183;-20;-3.4
Bay of Plenty;542;Receptionists;1948;1954;1972;1995;47;0.8
Bay of Plenty;551;Accounting Clerks and Bookkeepers;1794;181;1829;1842;48;0.9
Bay of Plenty;552;Financial and Insurance Clerks;592;564;537;514;-77;-4.6
Bay of Plenty;561;Clerical and Office Support Workers;1092;1087;1081;1073;-19;-0.6
Bay of Plenty;591;Logistics Clerks;1286;1309;1335;1357;71;1.8
Bay of Plenty;599;Miscellaneous Clerical and Administrative Workers;1172;1183;1192;1196;24;0.7
