region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
West Coast;Electricity, gas and water supply;50;45;39;33;-17;-13.0
West Coast;Construction;2134;2367;258;2784;650;9.3
West Coast;Wholesale trade;532;542;552;561;29;1.8
West Coast;Retail trade (including motor vehicle repairs);171;174;1786;183;120;2.3
West Coast;Accommodation, cafes and restaurants;1545;1556;1578;1591;46;1.0
West Coast;Transport and storage;741;763;790;814;73;3.2
West Coast;Communication services;122;120;119;118;-4;-1.0
West Coast;Finance and insurance;239;245;252;258;19;2.6
West Coast;Property services;391;412;437;463;71;5.7
West Coast;Business services;1389;1461;1539;1616;227;5.2
West Coast;Government admin. and defence;654;651;643;633;-22;-1.1
West Coast;Education;1047;1053;1056;1051;4;0.1
West Coast;Health and community services;1462;1489;153;1589;127;2.8
West Coast;Cultural and recreational services;553;554;561;564;12;0.7
West Coast;Personal and other community services;528;538;554;566;38;2.4
Otago;Agriculture;10837;1111;11416;11575;738;2.2
Otago;Fishing;102;86;67;51;-51;-20.5
Otago;Forestry and logging;314;319;329;363;48;4.9
Otago;Mining and quarrying;787;816;887;863;76;3.1
Otago;Food, beverage and tobacco manufacturing;5035;5101;5186;5267;232;1.5
Otago;Textiles and apparel manufacturing;462;457;448;434;-29;-2.1
Otago;Wood and paper products manufacturing;618;586;559;531;-87;-4.9
Otago;Printing, publishing and recorded media;442;461;478;493;51;3.7
Otago;Chemicals manufacturing;389;395;397;397;8;0.7
Otago;Non-metallic mineral products manufacturing;711;727;767;815;104;4.7
Otago;Metal product manufacturing;134;1422;15;1564;224;5.3
Otago;Machinery and equipment manufacturing;1418;1403;1399;1389;-29;-0.7
Otago;Furniture and other manufacturing;304;306;305;303;-1;-0.1
Otago;Electricity, gas and water supply;837;852;857;857;19;0.8
Otago;Construction;10182;10953;11514;11992;181;5.6
Otago;Wholesale trade;4256;4326;4404;4478;222;1.7
Otago;Retail trade (including motor vehicle repairs);122;12599;13068;13531;1331;3.5
Otago;Accommodation, cafes and restaurants;1292;13468;14139;14772;1852;4.6
Otago;Transport and storage;398;4018;4091;4146;166;1.4
Otago;Communication services;842;767;698;626;-216;-9.4
Otago;Finance and insurance;146;144;1394;1345;-115;-2.7
Otago;Property services;2988;3091;3225;3364;376;4.0
Otago;Business services;13717;14426;152;15976;2259;5.2
Otago;Government admin. and defence;538;5627;572;5756;376;2.3
Otago;Education;11763;1205;12317;12475;712;2.0
Otago;Health and community services;10929;11327;11824;1248;1551;4.5
Otago;Cultural and recreational services;5094;5116;5289;5433;340;2.2
Otago;Personal and other community services;3798;3888;4008;4093;295;2.5
Southland;Agriculture;10003;10229;10486;10649;646;2.1
Southland;Fishing;377;411;450;497;119;9.6
Southland;Forestry and logging;167;174;180;186;19;3.6
Southland;Mining and quarrying;216;225;237;242;26;3.9
Southland;Food, beverage and tobacco manufacturing;4587;4517;446;4394;-193;-1.4
Southland;Textiles and apparel manufacturing;169;171;174;175;5;1.1
